title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Breakdown,movie,"Crime, Drama, Mystery",1997,tt0118771,7,63709,"AT, CH, DE, FR, GB, IE, IT"
Stargate,movie,"Action, Adventure, Sci-Fi",1994,tt0111282,7,209005,"BR, CL, CO, MX, US"
"Liberty Stands Still",movie,"Action, Drama, Thriller",2002,tt0280870,5.7,8121,US
"Wet Hot American Summer",movie,"Comedy, Romance",2001,tt0243655,6.5,61473,US
"Alice in the Cities",movie,Drama,1974,tt0069687,7.9,13801,DE
"16 Blocks",movie,"Action, Drama, Thriller",2006,tt0450232,6.6,135714,"AR, BR, CL, CO, MX"
"The Legend of Paul and Paula",movie,"Comedy, Drama, Romance",1973,tt0070299,6.8,1254,DE
Malice,movie,"Crime, Mystery, Thriller",1993,tt0107497,6.5,28524,"BR, CL, CO, MX"
Unfaithful,movie,"Drama, Romance, Thriller",2002,tt0250797,6.7,100691,"DE, US"
"Eastern Promises",movie,"Crime, Drama, Thriller",2007,tt0765443,7.6,266086,US
"Veronika Voss",movie,Drama,1982,tt0084654,7.6,7920,DE
Stardust,movie,"Adventure, Family, Fantasy",2007,tt0486655,7.6,288608,"AT, CH, DE, FR, GB, IE, IT"
"The General's Daughter",movie,"Crime, Drama, Mystery",1999,tt0144214,6.4,64774,US
"Cold Mountain",movie,"Adventure, Drama, Romance",2003,tt0159365,7.2,158226,"AT, CH, DE, FR, GB, IE, IT"
"Jacob's Ladder",movie,"Drama, Horror, Mystery",1990,tt0099871,7.4,120798,GB
"Clerks II",movie,Comedy,2006,tt0424345,7.3,141719,IN
"The Light",movie,"Drama, Romance",2004,tt0388562,7,1646,DE
Prime,movie,"Comedy, Drama, Romance",2005,tt0387514,6.2,42372,US
"Married to the Mob",movie,"Comedy, Crime, Romance",1988,tt0095593,6.2,20196,BR
"Field of Dreams",movie,"Drama, Family, Fantasy",1989,tt0097351,7.5,131613,AU
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16447,US
"The Bear",movie,"Adventure, Drama, Family",1988,tt0095800,7.7,19411,DE
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,35173,DE
"Harley Davidson and the Marlboro Man",movie,"Action, Crime, Drama",1991,tt0102005,6.1,23314,"BR, CL, CO, MX"
"Confidentially Yours",movie,"Comedy, Crime, Mystery",1983,tt0086551,7.2,7659,DE
"Children of Paradise",movie,"Drama, Romance",1945,tt0037674,8.3,21506,GB
"Belle Epoque",movie,"Comedy, Drama, Romance",1992,tt0103791,7.1,11563,DE
"The Princess Bride",movie,"Adventure, Comedy, Family",1987,tt0093779,8,458231,"BR, CL, CO, MX"
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,585739,"AU, US"
"The Bourne Supremacy",movie,"Action, Mystery, Thriller",2004,tt0372183,7.7,493576,"AU, US"
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,665013,"AU, US"
"Nobody Knows",movie,Drama,2004,tt0408664,8,32454,"GB, US"
Spanglish,movie,"Comedy, Drama, Romance",2004,tt0371246,6.4,89502,US
"Zazie in the Metro",movie,"Comedy, Fantasy",1960,tt0054494,6.9,6900,DE
"Time to Leave",movie,Drama,2005,tt0417189,7.1,9338,DE
"The Aviator",movie,"Biography, Drama",2004,tt0338751,7.5,389317,IN
"Planes, Trains & Automobiles",movie,"Comedy, Drama",1987,tt0093748,7.6,163824,"AT, CH, DE, FR, GB, IE, IT"
"Uncle Buck",movie,Comedy,1989,tt0098554,7.1,110714,AU
"Return to Me",movie,"Comedy, Drama, Romance",2000,tt0122459,7,23278,"BR, CL, CO, MX"
"An Officer and a Gentleman",movie,"Drama, Romance",1982,tt0084434,7.1,64039,"AT, CA, CH, DE, FR, GB, IE, IT"
"The Mothman Prophecies",movie,"Drama, Horror, Mystery",2002,tt0265349,6.4,86066,US
Heathers,movie,"Comedy, Crime",1988,tt0097493,7.2,119950,AU
"The Game",movie,"Drama, Mystery, Thriller",1997,tt0119174,7.7,440826,"AU, FR"
"What Lies Beneath",movie,"Drama, Horror, Mystery",2000,tt0161081,6.6,138349,CA
"House of 1000 Corpses",movie,Horror,2003,tt0251736,6,95857,"CA, US"
"Airplane II: The Sequel",movie,"Comedy, Sci-Fi",1982,tt0083530,6.2,57760,"AT, AU, CH, DE, FR, GB, IE, IT, US"
"The Blair Witch Project",movie,"Horror, Mystery",1999,tt0185937,6.5,294983,"BR, CL, CO, IN, MX"
"Sleepy Hollow",movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,392536,"CA, US"
"The Bounty",movie,"Adventure, Drama, History",1984,tt0086993,7,31937,"BR, CL, CO, MX"
Ringu,movie,"Horror, Mystery",1998,tt0178868,7.2,79896,"CA, FR, US"
"Irma la Douce",movie,"Comedy, Romance",1963,tt0057187,7.3,21967,"CL, CO, MX"
"Evan Almighty",movie,"Comedy, Family, Fantasy",2007,tt0413099,5.4,157083,US
Indochine,movie,"Drama, Romance, War",1992,tt0104507,7,11130,DE
"Naked Lunch",movie,"Drama, Mystery",1991,tt0102511,6.9,57790,DE
"Journey to Italy",movie,"Drama, Romance",1954,tt0046511,7.3,12682,GB
"24 Hour Party People",movie,"Biography, Comedy, Drama",2002,tt0274309,7.3,40265,"BR, CL, CO, MX"
"40 Days and 40 Nights",movie,"Comedy, Romance",2002,tt0243736,5.6,76530,AU
"The Abyss",movie,"Adventure, Drama, Mystery",1989,tt0096754,7.5,197762,US
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,113815,"AT, AU, CH, DE, FR, GB, IE, IT, US"
"The Lovers on the Bridge",movie,"Drama, Romance",1991,tt0101318,7.6,15828,DE
"American Pie 2",movie,Comedy,2001,tt0252866,6.4,274314,AU
Clifford,movie,Comedy,1994,tt0109447,5.5,8804,US
"Pierrot le Fou",movie,"Crime, Drama, Romance",1965,tt0059592,7.4,37925,DE
"Pitch Black",movie,"Action, Horror, Sci-Fi",2000,tt0134847,7,256288,AU
"Reality Bites",movie,"Comedy, Drama, Romance",1994,tt0110950,6.6,54886,AU
"The Chronicles of Riddick",movie,"Action, Adventure, Sci-Fi",2004,tt0296572,6.6,245206,AU
"The Chronicles of Riddick: Dark Fury",movie,"Action, Animation, Sci-Fi",2004,tt0407658,6.5,12275,US
